Station,Date(NZST),Tair(C),Twet(C),RH(%),Tdew(C)
15752,20160101:0800,16.4,13.0,66.0,10.0
3925,20160101:0800,17.1,15.3,82.0,14.0
15752,20160102:0800,16.2,13.7,74.0,11.6
3925,20160102:0800,16.8,16.3,95.0,16.0
15752,20160103:0800,10.8,9.8,87.0,8.7
3925,20160103:0800,17.7,17.2,95.0,16.9
15752,20160104:0800,9.6,7.0,66.0,3.6
3925,20160104:0800,13.7,9.6,55.0,4.8
15752,20160105:0800,12.2,9.5,68.0,6.5
3925,20160105:0800,12.8,10.8,77.0,8.9
15752,20160106:0800,14.9,12.0,69.0,9.3
3925,20160106:0800,15.0,13.3,82.0,12.0
15752,20160107:0800,14.7,12.3,74.0,10.1
3925,20160107:0800,12.7,11.2,82.0,9.7
15752,20160108:0800,13.5,12.7,91.0,12.1
3925,20160108:0800,17.9,17.3,94.0,16.9
15752,20160109:0800,11.6,8.8,66.0,5.5
3925,20160109:0800,12.8,11.3,82.0,9.8
15752,20160110:0800,11.6,7.4,51.0,1.8
3925,20160110:0800,13.7,12.3,84.0,11.0
15752,20160111:0800,13.1,8.2,46.0,1.8
3925,20160111:0800,13.6,11.0,71.0,8.5
15752,20160112:0800,15.6,12.6,69.0,10.0
3925,20160112:0800,14.1,12.4,81.0,10.9
15752,20160113:0800,10.3,8.4,76.0,6.3
3925,20160113:0800,14.6,12.5,77.0,10.6
15752,20160114:0800,12.9,9.9,66.0,6.7
3925,20160114:0800,17.2,14.7,75.0,12.7
15752,20160115:0800,13.6,12.7,89.0,11.8
3925,20160115:0800,15.5,13.8,82.0,12.5
15752,20160116:0800,11.3,8.7,68.0,5.6
3925,20160116:0800,14.6,14.2,95.0,13.8
15752,20160117:0800,12.7,10.6,76.0,8.6
3925,20160117:0800,17.8,17.2,94.0,16.8
15752,20160118:0800,11.0,10.5,93.0,9.9
3925,20160118:0800,17.0,15.8,88.0,15.0
15752,20160119:0800,13.1,12.9,97.0,12.6
3925,20160119:0800,16.0,15.7,97.0,15.5
15752,20160120:0800,14.2,12.9,85.0,11.7
3925,20160120:0800,16.2,15.2,89.0,14.4
15752,20160121:0800,18.2,15.1,70.0,12.7
3925,20160121:0800,15.6,14.1,84.0,12.9
15752,20160122:0800,19.0,15.9,71.0,13.6
3925,20160122:0800,16.2,14.9,86.0,13.9
15752,20160123:0800,18.9,16.7,79.0,15.2
3925,20160123:0800,16.8,15.8,90.0,15.2
15752,20160124:0800,17.6,15.5,79.0,13.9
3925,20160124:0800,18.7,16.2,76.0,14.4
15752,20160125:0800,16.5,15.7,92.0,15.2
3925,20160125:0800,19.6,18.1,86.0,17.2
15752,20160126:0800,12.2,12.1,99.0,12.1
3925,20160126:0800,19.3,18.3,90.0,17.6
15752,20160127:0800,11.4,10.0,83.0,8.6
3925,20160127:0800,18.6,18.1,95.0,17.8
15752,20160128:0800,11.1,10.2,89.0,9.4
3925,20160128:0800,14.1,13.8,96.0,13.5
15752,20160129:0800,11.2,10.8,95.0,10.4
3925,20160129:0800,17.3,16.0,87.0,15.1
15752,20160130:0800,9.8,9.0,89.0,8.1
3925,20160130:0800,15.5,14.1,85.0,13.0
15752,20160131:0800,12.0,10.6,83.0,9.2
3925,20160131:0800,13.8,12.7,87.0,11.7
15752,20160201:0800,14.1,12.9,86.0,11.8
3925,20160201:0800,14.5,13.8,92.0,13.2
15752,20160202:0800,17.4,15.0,76.0,13.1
3925,20160202:0800,15.7,14.1,83.0,12.8
15752,20160203:0800,19.7,17.1,76.0,15.4
3925,20160203:0800,18.8,17.0,83.0,15.9
15752,20160204:0800,22.6,18.9,69.0,16.6
3925,20160204:0800,17.4,16.7,93.0,16.3
15752,20160205:0800,15.2,12.8,74.0,10.6
3925,20160205:0800,17.6,16.9,93.0,16.5
15752,20160206:0800,14.3,13.1,86.0,12.0
3925,20160206:0800,18.0,16.8,88.0,16.0
15752,20160207:0800,15.1,12.6,73.0,10.3
3925,20160207:0800,20.9,18.2,76.0,16.5
15752,20160208:0800,13.2,11.6,82.0,10.2
3925,20160208:0800,18.5,16.8,83.0,15.6
15752,20160209:0800,18.3,15.6,74.0,13.6
3925,20160209:0800,19.1,17.2,82.0,16.0
15752,20160210:0800,14.2,12.0,76.0,10.0
3925,20160210:0800,15.9,15.0,90.0,14.3
15752,20160211:0800,15.5,14.4,88.0,13.5
3925,20160211:0800,12.5,11.9,93.0,11.4
15752,20160212:0800,17.8,15.7,79.0,14.1
3925,20160212:0800,14.7,12.7,78.0,10.9
15752,20160213:0800,15.1,14.0,88.0,13.1
3925,20160213:0800,14.4,13.4,89.0,12.6
15752,20160214:0800,16.2,15.0,87.0,14.0
3925,20160214:0800,14.3,13.1,86.0,12.0
15752,20160215:0800,18.6,14.8,64.0,11.7
3925,20160215:0800,14.7,13.5,87.0,12.6
15752,20160216:0800,16.6,15.7,91.0,15.1
3925,20160216:0800,17.7,15.9,82.0,14.6
15752,20160217:0800,23.0,17.6,56.0,13.8
3925,20160217:0800,17.5,16.7,92.0,16.2
15752,20160218:0800,17.5,16.3,88.0,15.5
3925,20160218:0800,15.5,15.1,96.0,14.9
15752,20160219:0800,15.6,11.6,59.0,7.6
3925,20160219:0800,13.5,13.2,96.0,12.9
15752,20160220:0800,17.5,14.4,70.0,12.0
3925,20160220:0800,14.6,14.2,95.0,13.8
15752,20160221:0800,13.9,11.8,76.0,9.8
3925,20160221:0800,15.9,14.4,84.0,13.2
15752,20160222:0800,14.3,11.6,70.0,8.9
3925,20160222:0800,12.2,11.5,91.0,10.8
15752,20160223:0800,16.2,12.8,65.0,9.6
3925,20160223:0800,15.5,14.7,91.0,14.0
15752,20160224:0800,18.1,16.1,80.0,14.6
3925,20160224:0800,13.1,12.4,92.0,11.8
15752,20160225:0800,17.3,16.3,90.0,15.6
3925,20160225:0800,15.8,15.3,94.0,14.9
15752,20160226:0800,17.8,16.4,86.0,15.4
3925,20160226:0800,16.2,15.5,92.0,14.9
15752,20160227:0800,17.1,14.9,78.0,13.2
3925,20160227:0800,16.8,15.5,87.0,14.6
15752,20160228:0800,16.3,14.2,78.0,12.5
3925,20160228:0800,13.5,12.6,90.0,11.9
15752,20160229:0800,10.6,7.4,60.0,3.2
3925,20160229:0800,14.1,13.2,90.0,12.5
15752,20160301:0800,9.4,7.2,71.0,4.4
3925,20160301:0800,11.0,10.5,93.0,9.9
15752,20160302:0800,11.2,8.5,67.0,5.3
3925,20160302:0800,10.4,10.0,95.0,9.6
15752,20160303:0800,11.6,10.3,84.0,9.0
3925,20160303:0800,13.0,12.2,90.0,11.4
15752,20160304:0800,17.3,14.9,76.0,13.0
3925,20160304:0800,12.6,11.7,89.0,10.9
15752,20160305:0800,16.4,14.9,84.0,13.7
3925,20160305:0800,13.8,12.9,90.0,12.2
15752,20160306:0800,18.1,15.5,75.0,13.6
3925,20160306:0800,14.9,14.3,93.0,13.8
15752,20160307:0800,15.7,12.9,71.0,10.5
3925,20160307:0800,17.0,16.7,97.0,16.5
15752,20160308:0800,13.4,9.6,58.0,5.3
3925,20160308:0800,17.1,16.6,95.0,16.3
15752,20160309:0800,12.4,9.0,61.0,5.1
3925,20160309:0800,10.1,9.9,97.0,9.7
15752,20160310:0800,18.7,14.4,60.0,10.8
3925,20160310:0800,11.0,10.4,92.0,9.8
15752,20160311:0800,8.2,6.8,80.0,5.0
3925,20160311:0800,10.9,10.3,92.0,9.7
15752,20160312:0800,11.3,8.3,64.0,4.8
3925,20160312:0800,8.3,6.9,81.0,5.2
15752,20160313:0800,12.7,11.5,86.0,10.4
3925,20160313:0800,12.9,12.7,97.0,12.4
15752,20160314:0800,15.4,12.9,74.0,10.8
3925,20160314:0800,13.6,12.7,89.0,11.8
15752,20160315:0800,14.9,14.5,96.0,14.3
3925,20160315:0800,13.0,12.7,96.0,12.4
15752,20160316:0800,8.8,7.0,75.0,4.6
3925,20160316:0800,11.4,11.1,96.0,10.8
15752,20160317:0800,10.9,8.2,67.0,5.0
3925,20160317:0800,7.3,7.2,99.0,7.2
15752,20160318:0800,13.1,10.9,75.0,8.8
3925,20160318:0800,13.5,13.3,98.0,13.2
15752,20160319:0800,16.7,14.1,74.0,12.1
3925,20160319:0800,16.3,15.8,95.0,15.5
15752,20160320:0800,20.0,16.5,68.0,13.9
3925,20160320:0800,18.1,16.4,83.0,15.2
15752,20160321:0800,16.7,16.0,93.0,15.6
3925,20160321:0800,15.1,14.6,94.0,14.2
15752,20160322:0800,15.3,14.8,94.0,14.4
3925,20160322:0800,15.4,15.0,95.0,14.6
15752,20160323:0800,15.3,14.5,91.0,13.9
3925,20160323:0800,13.5,13.3,98.0,13.2
15752,20160324:0800,15.6,15.1,95.0,14.8
3925,20160324:0800,16.9,16.7,98.0,16.6
15752,20160325:0800,11.1,9.6,81.0,8.0
3925,20160325:0800,14.2,13.6,93.0,13.1
15752,20160326:0800,11.2,10.7,93.0,10.1
3925,20160326:0800,15.5,15.1,96.0,14.9
15752,20160327:0800,13.8,13.2,93.0,12.7
3925,20160327:0800,14.6,14.3,96.0,14.0
15752,20160328:0800,11.0,9.4,80.0,7.7
3925,20160328:0800,12.7,12.5,97.0,12.2
15752,20160329:0800,11.0,10.3,91.0,9.6
3925,20160329:0800,7.0,6.9,98.0,6.7
15752,20160330:0800,11.3,9.3,76.0,7.2
3925,20160330:0800,6.8,6.7,98.0,6.5
15752,20160331:0800,9.4,8.4,87.0,7.4
3925,20160331:0800,6.9,6.8,99.0,6.8
15752,20160401:0800,14.4,13.5,90.0,12.8
3925,20160401:0800,12.8,12.4,95.0,12.0
3925,20160402:0800,13.6,13.4,98.0,13.3
3925,20160403:0900,16.8,16.5,97.0,16.3
3925,20160404:0900,11.0,10.1,88.0,9.1
15752,20160405:0900,12.2,10.0,74.0,7.7
3925,20160405:0900,6.6,6.5,99.0,6.5
15752,20160406:0900,13.2,11.6,81.0,10.0
3925,20160406:0900,7.7,7.7,100.0,7.7
15752,20160407:0900,15.4,11.9,64.0,8.6
3925,20160407:0900,9.3,9.2,98.0,9.0
15752,20160408:0900,11.1,8.9,73.0,6.5
3925,20160408:0900,14.2,13.1,88.0,12.3
15752,20160409:0900,14.4,10.4,57.0,6.0
3925,20160409:0900,12.2,11.4,90.0,10.6
15752,20160410:0900,14.9,11.1,60.0,7.2
3925,20160410:0900,8.5,8.3,97.0,8.1
15752,20160411:0900,16.7,11.9,53.0,7.1
3925,20160411:0900,7.9,7.8,98.0,7.6
3925,20160412:0900,14.2,14.0,98.0,13.9
3925,20160413:0900,8.4,7.5,88.0,6.5
3925,20160414:0900,4.6,4.6,100.0,4.6
15752,20160415:0900,12.2,9.7,70.0,6.9
3925,20160415:0900,10.2,9.4,90.0,8.6
15752,20160416:0900,11.1,10.2,89.0,9.4
3925,20160416:0900,6.1,5.9,97.0,5.7
15752,20160417:0900,12.0,10.2,78.0,8.3
3925,20160417:0900,10.6,10.3,96.0,10.0
15752,20160418:0900,10.3,7.0,59.0,2.7
3925,20160418:0900,12.3,11.7,93.0,11.2
15752,20160419:0900,8.9,7.1,76.0,4.9
3925,20160419:0900,8.9,8.8,99.0,8.8
15752,20160420:0900,13.3,8.9,52.0,3.7
3925,20160420:0900,6.5,6.4,99.0,6.4
15752,20160421:0900,13.2,11.8,84.0,10.6
3925,20160421:0900,6.2,6.2,100.0,6.2
15752,20160422:0900,10.8,10.7,99.0,10.7
3925,20160422:0900,5.7,5.6,99.0,5.6
15752,20160423:0900,12.8,12.6,97.0,12.3
3925,20160423:0900,14.7,12.5,76.0,10.5
15752,20160424:0900,9.9,5.9,50.0,0.0
3925,20160424:0900,9.6,8.4,84.0,7.0
15752,20160425:0900,10.7,6.7,51.0,1.0
3925,20160425:0900,9.2,9.1,98.0,8.9
15752,20160426:0900,12.3,10.6,80.0,9.0
3925,20160426:0900,10.0,9.9,98.0,9.7
15752,20160427:0900,13.6,10.0,60.0,6.0
3925,20160427:0900,10.0,9.8,97.0,9.6
15752,20160428:0900,9.8,7.9,75.0,5.6
3925,20160428:0900,6.3,6.2,99.0,6.2
15752,20160429:0900,15.2,9.7,44.0,3.1
3925,20160429:0900,7.1,7.0,98.0,6.8
15752,20160430:0900,8.5,7.5,86.0,6.3
3925,20160430:0900,12.2,11.0,86.0,9.9
15752,20160501:0900,11.9,10.7,85.0,9.5
3925,20160501:0900,12.8,12.2,93.0,11.7
15752,20160502:0900,18.9,13.0,47.0,7.4
3925,20160502:0900,12.4,12.2,97.0,12.0
15752,20160503:0900,11.9,10.8,87.0,9.8
3925,20160503:0900,13.3,13.1,98.0,13.0
15752,20160504:0900,14.6,10.4,56.0,6.0
3925,20160504:0900,15.9,15.5,96.0,15.3
15752,20160505:0900,9.4,9.0,94.0,8.5
3925,20160505:0900,15.4,15.2,98.0,15.1
15752,20160506:0900,6.7,6.3,94.0,5.8
3925,20160506:0900,10.9,10.8,98.0,10.6
15752,20160507:0900,12.3,11.3,88.0,10.4
3925,20160507:0900,8.5,7.9,91.0,7.1
15752,20160508:0900,13.8,12.8,88.0,11.9
3925,20160508:0900,11.7,10.6,86.0,9.5
15752,20160509:0900,9.8,9.0,89.0,8.1
3925,20160509:0900,9.4,9.3,98.0,9.1
15752,20160510:0900,11.8,10.6,85.0,9.4
3925,20160510:0900,10.9,10.8,98.0,10.6
15752,20160511:0900,14.7,12.4,75.0,10.3
3925,20160511:0900,17.5,17.1,96.0,16.9
15752,20160512:0900,10.1,7.6,68.0,4.5
3925,20160512:0900,11.8,11.6,98.0,11.5
15752,20160513:0900,10.7,7.2,57.0,2.6
3925,20160513:0900,11.0,10.8,97.0,10.6
15752,20160514:0900,8.2,6.5,76.0,4.3
3925,20160514:0900,11.4,11.3,99.0,11.3
15752,20160515:0900,11.0,8.7,71.0,6.0
3925,20160515:0900,8.6,8.6,100.0,8.6
15752,20160516:0900,14.5,11.0,62.0,7.3
3925,20160516:0900,14.3,13.1,87.0,12.2
15752,20160517:0900,6.5,4.5,70.0,1.5
3925,20160517:0900,5.9,5.7,97.0,5.5
15752,20160518:0900,9.8,6.8,62.0,2.9
3925,20160518:0900,11.1,10.6,94.0,10.2
15752,20160519:0900,11.3,7.5,55.0,2.6
3925,20160519:0900,8.2,8.1,99.0,8.1
15752,20160520:0900,11.0,9.4,80.0,7.7
3925,20160520:0900,7.9,7.9,100.0,7.9
15752,20160521:0900,9.7,8.6,85.0,7.3
3925,20160521:0900,5.8,5.7,99.0,5.7
15752,20160522:0900,5.7,4.3,79.0,2.4
3925,20160522:0900,5.4,5.3,99.0,5.3
15752,20160523:0900,6.4,5.5,87.0,4.4
3925,20160523:0900,3.7,3.7,100.0,3.7
15752,20160524:0900,4.9,4.7,97.0,4.5
3925,20160524:0900,4.8,4.7,99.0,4.7
15752,20160525:0900,2.1,1.6,90.0,0.7
3925,20160525:0900,6.7,6.6,99.0,6.6
15752,20160526:0900,5.4,4.9,92.0,4.2
3925,20160526:0900,8.4,8.3,98.0,8.1
15752,20160527:0900,7.1,5.8,81.0,4.1
3925,20160527:0900,7.7,7.6,99.0,7.6
15752,20160528:0900,8.1,7.0,84.0,5.6
3925,20160528:0900,10.1,10.0,98.0,9.8
15752,20160529:0900,7.8,7.4,94.0,6.9
3925,20160529:0900,7.9,7.8,99.0,7.8
3925,20160530:0900,3.3,3.2,98.0,3.0
3925,20160531:0900,4.4,4.2,96.0,3.8
3925,20160601:0900,2.3,2.0,95.0,1.6
15752,20160602:0900,6.0,5.0,84.0,3.5
3925,20160602:0900,-0.6,-0.6,100.0,-0.7
15752,20160603:0900,10.6,7.7,64.0,4.1
3925,20160603:0900,2.8,2.8,99.0,2.7
15752,20160604:0900,8.2,6.6,78.0,4.6
3925,20160604:0900,0.4,0.4,100.0,0.4
15752,20160605:0900,5.3,4.4,86.0,3.2
3925,20160605:0900,-0.3,-0.3,100.0,-0.3
15752,20160606:0900,3.6,3.0,90.0,2.1
3925,20160606:0900,-0.5,-0.5,100.0,-0.6
15752,20160607:0900,5.0,3.1,70.0,0.0
3925,20160607:0900,-2.8,-2.8,100.0,-3.1
15752,20160608:0900,0.5,0.2,94.0,-0.3
3925,20160608:0900,-2.5,-2.5,100.0,-2.8
15752,20160609:0900,11.2,9.6,80.0,7.9
3925,20160609:0900,4.1,4.1,99.0,4.0
15752,20160610:0900,17.2,11.7,48.0,6.1
3925,20160610:0900,12.9,12.2,92.0,11.6
15752,20160611:0900,6.9,5.3,76.0,3.0
3925,20160611:0900,7.6,7.3,96.0,7.0
15752,20160612:0900,7.6,5.3,68.0,2.1
3925,20160612:0900,10.2,9.7,94.0,9.3
15752,20160613:0900,10.0,5.9,49.0,-0.2
3925,20160613:0900,0.4,0.4,100.0,0.4
15752,20160614:0900,5.0,4.3,89.0,3.4
3925,20160614:0900,5.8,5.8,100.0,5.8
15752,20160615:0900,7.5,6.0,79.0,4.1
3925,20160615:0900,7.1,7.1,100.0,7.1
15752,20160616:0900,6.0,4.5,77.0,2.3
3925,20160616:0900,5.4,5.3,99.0,5.3
15752,20160617:0900,6.0,4.9,83.0,3.4
3925,20160617:0900,4.1,4.1,100.0,4.1
15752,20160618:0900,8.1,6.4,76.0,4.1
3925,20160618:0900,4.7,4.6,98.0,4.4
15752,20160619:0900,8.7,7.3,81.0,5.6
3925,20160619:0900,9.9,9.7,97.0,9.5
15752,20160620:0900,2.1,1.7,93.0,1.1
3925,20160620:0900,10.3,10.2,98.0,10.0
15752,20160621:0900,7.3,7.1,97.0,6.9
3925,20160621:0900,11.1,10.8,96.0,10.5
15752,20160622:0900,11.2,10.1,86.0,9.0
3925,20160622:0900,14.4,13.8,93.0,13.3
15752,20160623:0900,9.5,8.6,88.0,7.6
3925,20160623:0900,11.8,11.6,98.0,11.5
15752,20160624:0900,10.6,9.3,83.0,7.8
3925,20160624:0900,10.1,10.1,100.0,10.1
15752,20160625:0900,6.9,6.1,88.0,5.1
3925,20160625:0900,6.3,5.9,94.0,5.4
15752,20160626:0900,9.8,9.4,95.0,9.1
3925,20160626:0900,6.2,6.1,99.0,6.1
15752,20160627:0900,6.9,6.8,98.0,6.6
3925,20160627:0900,8.3,8.2,99.0,8.2
15752,20160628:0900,8.3,7.3,86.0,6.1
3925,20160628:0900,8.4,8.3,99.0,8.3
15752,20160629:0900,4.4,4.0,93.0,3.4
3925,20160629:0900,5.4,5.2,96.0,4.8
15752,20160630:0900,7.9,5.8,71.0,3.0
